place,county,region,urban_type,population,pop_density,tree_equity_score,tree_canopy_pct,heat_severity_F,health_burden,prop_poverty,prop_people_of_color,unemployment_rate,prop_children,prop_seniors
Front Royal,Warren County,Northern Virginia,Suburban,1355,1107.79,68.0,0.3499,1.27,0.6502,0.3478,0.2339,0.0811,0.2449,0.1591
Gainesville,Prince William County,Northern Virginia,Suburban,1670,602.64,94.7,0.446,-0.47,0.3297,0.0932,0.392,0.0306,0.2318,0.0964
Galax,Galax city,Southwest Virginia,Exurban,835,444.41,86.0,0.3515,0.24,0.708,0.4217,0.2338,0.0597,0.2276,0.1827
George Mason,Fairfax County,Northern Virginia,Urban Core,3309,1493.34,95.67,0.5259,2.86,0.3943,0.206,0.4776,0.11,0.1829,0.0894
Glen Allen,Henrico County,Richmond Metro,Suburban,1462,594.99,96.91,0.5005,-2.1,0.2251,0.129,0.3939,0.0416,0.2025,0.1625
Glenvar,Roanoke County,Roanoke-New River,Exurban,1300,445.64,82.5,0.3192,2.28,0.3278,0.2415,0.1165,0.0358,0.1299,0.459
Gloucester Point,Gloucester County,Hampton Roads,Suburban,1808,719.28,94.88,0.3993,-4.67,0.3169,0.2311,0.1244,0.0263,0.197,0.1772
Goose Creek Village,Loudoun County,Northern Virginia,Urban Core,4274,1879.33,90.5,0.3741,4.03,0.2737,0.0303,0.6122,0.0298,0.3506,0.0366
Great Falls,Fairfax County,Northern Virginia,Suburban,1745,359.38,99.25,0.6009,-6.67,0.2715,0.0478,0.316,0.0317,0.2241,0.2301
Great Falls Crossing,Fairfax County,Northern Virginia,Suburban,2662,974.98,100.0,0.5196,-2.42,0.2432,0.0526,0.3084,0.0561,0.2355,0.1364
Greenbriar,Fairfax County,Northern Virginia,Suburban,1978,1954.22,91.0,0.3412,8.21,0.3252,0.0803,0.3704,0.0158,0.2476,0.1681
Groveton,Fairfax County,Northern Virginia,Suburban,1445,1179.68,94.1,0.4669,1.83,0.4515,0.2206,0.6448,0.0577,0.2252,0.1115
Halifax,Halifax County,Southside Virginia,Urban Core,1347,2378.6,100.0,0.5141,-0.23,0.5917,0.4996,0.3808,0.101,0.1663,0.2428
Hamilton,Loudoun County,Northern Virginia,Suburban,1938,1429.99,81.0,0.3217,-1.29,0.3662,0.0297,0.2095,0.0495,0.2308,0.1581
Hampton,Hampton city,Hampton Roads,Suburban,1341,1092.87,87.43,0.3329,1.82,0.3459,0.3043,0.6134,0.0559,0.2041,0.1655
Harrisonburg,"Harrisonburg city, Rockingham County",Shenandoah Valley,Suburban,1600,1321.32,76.74,0.2555,3.78,0.5071,0.4621,0.3744,0.0552,0.1754,0.0973
Hayfield,Fairfax County,Northern Virginia,Suburban,1374,1707.26,98.67,0.4988,-1.09,0.3479,0.0107,0.2713,0.0348,0.1919,0.1935
Haymarket,Prince William County,Northern Virginia,Suburban,1589,1265.83,93.33,0.4094,1.68,0.3309,0.0914,0.4753,0.0155,0.2883,0.0742
Herndon,"Fairfax County, Loudoun County",Northern Virginia,Suburban,1536,1846.63,88.31,0.3429,8.33,0.3528,0.1649,0.5964,0.0216,0.2183,0.1008
Highland Springs,Henrico County,Richmond Metro,Suburban,1140,866.18,93.62,0.4559,-0.2,0.3901,0.3769,0.7487,0.0415,0.2434,0.149
Hollins,Roanoke County,Roanoke-New River,Suburban,1980,752.54,84.88,0.3486,1.86,0.3817,0.3117,0.2195,0.025,0.1676,0.2598
Hollymead,Albemarle County,Central Virginia,Suburban,1805,1023.67,96.8,0.5421,-1.35,0.3483,0.101,0.2534,0.034,0.2587,0.2036
Hopewell,Hopewell city,Richmond Metro,Suburban,1279,868.58,91.28,0.4102,0.04,0.4916,0.4391,0.4857,0.0699,0.2161,0.1577
Horse Pasture,Henry County,Southside Virginia,Urban Core,982,7230.2,85.5,0.2766,1.51,0.698,0.2664,0.132,0.0247,0.0643,0.1538
Huntington,Fairfax County,Northern Virginia,Urban Core,1435,4368.13,88.3,0.3333,4.68,0.313,0.1488,0.4995,0.0507,0.1501,0.1088
Hurt,Pittsylvania County,Southside Virginia,Suburban,1720,720.13,97.0,0.5091,-0.21,0.5675,0.445,0.2463,0.0513,0.1844,0.2439
Hutchison,Fairfax County,Northern Virginia,Urban Core,3252,4570.57,84.5,0.296,11.29,0.346,0.2362,0.7341,0.0372,0.2274,0.0566
Hybla Valley,Fairfax County,Northern Virginia,Urban Core,1905,3399.18,89.9,0.387,4.84,0.5698,0.405,0.7612,0.1112,0.2894,0.1077
Idylwood,Fairfax County,Northern Virginia,Urban Core,1710,2467.04,91.7,0.3918,5.78,0.2879,0.1744,0.4912,0.0255,0.2364,0.1227
Independent Hill,Prince William County,Northern Virginia,Suburban,2407,776.59,100.0,0.6155,-3.84,0.3653,0.0452,0.3888,0.043,0.2608,0.1017
Innovation,Prince William County,Northern Virginia,Rural Town,0,0.0,91.0,0.3321,4.82,0.3451,0.0,0.0,0.0,0.0,0.0
Innsbrook,Henrico County,Richmond Metro,Suburban,1469,793.51,95.14,0.4277,0.96,0.1176,0.1387,0.4337,0.0482,0.2617,0.0972
Iron Gate,Alleghany County,Roanoke-New River,Suburban,795,638.55,97.0,0.4705,-1.14,0.4527,0.2956,0.117,0.1,0.1107,0.3824
Jolivue,Augusta County,Shenandoah Valley,Exurban,628,168.22,88.5,0.3524,-0.94,0.3425,0.3849,0.065,0.0,0.0758,0.2445
Keezletown,Rockingham County,Shenandoah Valley,Suburban,1338,1597.04,79.0,0.1945,-9.33,0.47,0.364,0.08,0.0349,0.296,0.2115
Kings Park,Fairfax County,Northern Virginia,Urban Core,2097,1235.49,99.5,0.5858,-2.02,0.3002,0.0547,0.4143,0.0353,0.2462,0.224
Kings Park West,Fairfax County,Northern Virginia,Suburban,1973,1796.66,99.57,0.5465,2.52,0.3259,0.102,0.3376,0.0466,0.2,0.1512
Kingstowne,Fairfax County,Northern Virginia,Urban Core,1829,2250.54,92.8,0.4185,3.96,0.3367,0.171,0.5081,0.0438,0.2134,0.1335
La Crosse,Mecklenburg County,Southside Virginia,Suburban,876,780.95,88.5,0.3841,0.85,0.5841,0.6132,0.5467,0.0387,0.2567,0.1977
Lake Barcroft,Fairfax County,Northern Virginia,Suburban,1224,1529.02,97.62,0.6101,-0.71,0.3414,0.1037,0.3367,0.0555,0.2005,0.2137
Lake Monticello,Fluvanna County,Central Virginia,Suburban,1963,710.31,100.0,0.77,-0.13,0.1314,0.139,0.1895,0.0089,0.2163,0.2215
Lake Of The Woods,Orange County,Central Virginia,Suburban,1711,671.02,100.0,0.7142,-0.13,0.3201,0.1636,0.251,0.0632,0.1964,0.3074
